,가수,노래 제목,노래 가사
20,박진영,십년이 지나도,미안해 너도 금방 좋은 사람 만날 거야 괜찮지 그래 난 괜찮아 너만 그 사람이 좋다면 난 웃으며 널 보내줄 수가 있어 하지만 왜 자꾸만 나도 다른 사람을 만나 널 쉽게 잊고 살거라 말하는 거야 그렇지 않아 날 지켜봐 두고봐 십년이 지난 후에도 난 너만을 사랑하고 있을 거야 그래 난 괜찮아 니가 떠나도 난 괜찮아 혼자서도 사랑은 계속될 테니까 하지만 왜 자꾸만 우리 사랑도 머지않아 빛바랜 추억일거라 말하는 거야 그렇지 않아 날 지켜봐 두고봐 십년이 지난 후에도 난 너만을 사랑하고 있을 거야 두고봐 십년이 뭐야 내가 죽는 날까지 내게 사랑은 오직 너 하나뿐야 날 지켜봐 두고봐 십년이 지난 후에도 난 너만을 사랑하고 있을 거야 날 지켜봐 두고봐
21,이진성 (먼데이 키즈),바보의 사랑,그대는 말하죠 참 바보같다고 너무 마음 약하고 사랑에 약한 사람이라고 난 바보같아서 그대밖에 난 모르죠 난 그대 때문에 참 어리숙한 참 바보같은 사람이 됐죠 너무 사랑해서 말하지 못한 나라서 그대는 모르죠 머릿속에는 온통 그대 하나라는걸 난 바보죠  멀리서 보아도 그대만 보여요 점점 다가오네요 아련한 그대 사랑인거죠 난 바보같아서 그대밖에 난 모르죠 난 그대 때문에 참 어리숙한 참 바보같은 사람이 됐죠 너무 사랑해서 말하지 못한 나라서 그대는 모르죠 머릿속에는 온통 그대 하나라는걸 난 바보죠 그댈 사랑해요 바보같아도 좋아요 그대는 모르죠 바보의 사랑 오직 그대만 사랑해요 난 바보죠  난 바보죠
22,차소연,아무 사이 아니니까 (딩고 이별택시 삽입곡),너는 아무렇지 않은 것 같아 울리지 않는 핸드폰을 바라봐 너를 기다리고 기다렸던 시간들이 내 맘을 아프게해도 넌 괜찮아 내 맘을 아프게 해도 넌 괜찮아 나를 아프게 해도 넌 괜찮아 날 사랑하지 않으니까 너를 탓할 수는 없는 거라고 생각을 하고 위로를 해도 네가 미워져 견딜수가 없어 우린 아무 사이 아니니까 우린 아무런 사이도 아니니까 그니까 이제는 여기서 알다가도 모르겠어 너의 맘은 어디로 향해 가고 있는지 나도 방향을 정할 수 있게 내게 아니라면 지금 알려줘 상처받을 준비도 다 됐어 네가 나를 향해있지 않다면 혹시라도 하는 맘도 내려놓게 그만 기다리라 말해줘 아프게해도 넌 괜찮니 내 맘을 아프게 해도 넌 괜찮니 나를 아프게 해도 넌 괜찮니 날 사랑하지 않으니까 너를 붙잡을 순 없는 거라고 생각을 하고 위로를 해도 우린 아무런 사이도 아니니까 그니까 이제는 여기서 알다가도 모르겠어 너의 맘은 어디로 향해 가고 있는지 나도 방향을 정할 수 있게 내게 아니라면 지금 알려줘 상처받을 준비도 다 됐어 네가 나를 향해있지 않다면 혹시라도 하는 맘도 내려놓게 그만 기다리라 말해줘
23,다비치,가을의 밤,이별하는 가을의 밤은 무릇 아파 정말 많이 사랑했단 그 말에 다시 눈물만 그랬듯이 슬픔은 결국 익숙하지 않아 바랐지만 그댄 내게 머물러주지 않아 사랑하는 그대여 거기 멈춰 서요 내 걸음이 따라가긴 너무 느려서 바라만 보네요 두 눈은 또 따라 흐려져요 나의 눈물 때문에 울지 않아 애써 견뎌도 눈썹이 젖어와 잊겠다고 말을 해도 다시 너를 생각해 사랑하는 그대여 거기 멈춰서요 내 걸음이 따라가긴 너무 느려서 바라만 보네요 두 눈은 또 따라 흐려져요 나의 눈물 때문에 얼마나 지나야 이 제자리 걸음을 멈출 수 있을까요 떠나가는 그대여 내게 약속해요 돌아오는 길은 부디 잊지 말아요 그 마음 떠나도 내가 이곳에서 기다려요 계절이 바뀐대도 나를 생각해줘요
24,오왠 (O.WHEN),붙잡을 수가 없잖아,붙잡을 수가 없잖아 난 사라지는게 맞잖아 넌 물이 든 병이 깨지듯 조각이 나서 흩어져버린 널 지켜봤어 난 어제보다 밝은 내일이 오늘보다 슬플 일 없이 지나가길 바랬는데 이렇게 떠나버린 그대도 나와 같은 아픔이 남아있을 리 없잖아 사랑했던 날부터 이별했던 날까지 붙잡을 수가 없잖아 난 떠나가는게 맞잖아 날 더이상 내겐 없잖아 넌 흐려져가는 그림자가 내 눈에 보여 그럼 난 이제 추억할 수 없이 이렇게 난 떠나버린 그대도 나와 같은 아픔이 남아있을 리 없잖아 사랑했던 날부터 이별했던 날까지 붙잡을 수가 없잖아 Everyday Everynight 잠 못드는건 한가지 You It’s You 아무리 기다려도 다신 볼 수 없겠지 You 떠나버린 추억도 나와 같은 그대도 남아있을 리 없잖아 사랑했던 날부터 이별했던 날까지 사라지는게 맞잖아
25,김동률,잔향,소리 없는 그대의 노래 귀를 막아도 은은해질 때 남 모르게 삭혀온 눈물 다 게워내고 허기진 맘 채우려 불러보는 그대 이름 향기 없는 그대의 숨결 숨을 막아도 만연해질 때 하루하루 쌓아온 미련 다 덜어내고 휑한 가슴 달래려 헤아리는 그대 얼굴 그 언젠가 해묵은 상처 다 아물어도 검게 그을린 내 맘에 그대의 눈물로 새싹이 푸르게 돋아나 그대의 숨결로 나무를 이루면 그때라도 내 사랑 받아주오 날 안아주오 단 하루라도 살아가게 해주오 라라라 사랑하오 얼어붙은 말 이내 메아리로 또 잦아들어 가네
26,이수영,Never Again,말론 다 못하겠죠 이 내 마음을 처음 그대 보았을때 생각이 나요 어렵사리 키워온 나의 사랑은 이대로 묻어야겠죠 없던것처럼 그대만을 바라보는 그녀는 어떻해 눈물삼키며 say good bye 이럴수밖에 없는 나 원망스러워 내게 남은 시간 그대와 할수있다면 마지막 내곁을 그대가 지켜준다면 정말 기쁘게 떠날수있을텐데 돌아가요 이미 늦었잖아요 지금도 그녀는 그대를 기다려요 행복한 모습 지켜볼수 있게해줘 plz let me go  그대만을 믿고있는 그녀를 지켜요 눈물삼키며 say good bye 행복하길 바래요 얼마안돼는 내게 남은 시간 기쁘게 살아갈께요 그대라는 사람 만난건 하늘이 내게 주신 마지막 선물이란걸 알아 돌아가요 이미 늦었잖아요 지금도 그녀는 그대를 기다려요 행복한 모습 지켜 볼수있게 해줘 plz let me go you'll have forget me 말로 못한 내 진심은 잊어요 붙잡고 싶지만 이내 슬퍼할 그대를 볼수없어 나 그냥 혼자갈께요 never come to me again  never come to me again never come to me never come to me never come to me again
27,우예린,해어화(解語花),지난날 후회해 뭣 하겠소 이제 와 깨달아 뭣하겠소 못나게 져버린 꽃떨기가 내 마음 아리게 하오 그대는 영원한 나의 임 당신만 위해 난 살아가 오 가시를 떨쳐낸 그 꽃처럼 아름답고 싶었어요 앞산에는 복사꽃 활짝인데 어찌 그대는 그리도 무심하게 돌아서 나 봄이 가고 꽃잎이 떨어져도 분홍 물이든 소매엔 항상 내가 있겠소 사랑 사랑 그것은 누구시길래 이리도 내 맘을 저리게 하는지 어떤 연유인지 난 아직도 찾지를 못했소 앞산에는 복사꽃 활짝인데 어찌 그대는 그리도 무심하게 돌아서 나 봄이 가고 꽃잎이 떨어져도 분홍 물이든 소매엔 내가 항상 있겠소
28,더보이즈 (THE BOYZ),Candles,차가워진 공기들 사이 서로만 바라보던 시간 그리운 날들에 괜히 문이 열릴 것만 같아 누군가 올 것만 같아 긴긴 어둠 속을 지나 다시 찾아온 하얀 겨울 잊지 않고 전부 들려주고 싶어 간절하게 바래왔던 오늘을 수많은 밤을 지나 기다려온 Christmas 단 하루도 빠짐없이 얼어붙은 시간도 다 녹여가 줄 환한 촛불 되어 비출게요 날 바라본 네 두 눈 속 비춰진 내 모습이 너의 작은 숨결 하나에도 얼마나 일렁이는지 이 아득한 밤 오늘 유난히 난 포근한 네 품에 안겨 널 만나 without you my night wouldn’t be bright as tonight cause you are the light that shine on my white 긴 긴 고요함을 깨고 들뜬 맘을 애써 달래며 잊지 않고 전부 들려주고 싶어 간절하게 바래왔던 내 맘을 수많은 밤을 지나 기다려온 Christmas 단 하루도 빠짐없이 얼어붙은 시간도 다 녹여가 줄 환한 촛불 되어 비출게요 기억너머 하나씩 선명하게 계절 지나 새 하얗게 흩날려 드리워진 날들을 환한 빛으로 밝혀줄게 누구보다 따듯한 온기가 될게 기다려온 Christmas 단 하루도 빠짐없이 얼어붙은 시간도 다 녹여가 줄 환한 촛불 되어 비출게요
29,이현,악수 (아는 여자애 X 이현),할 말이 많아 아껴두었다 말하지 못한 내가 이제 와 너의 손을 잡아본다 불안한 마음과 아쉬운 마음 나답지 않던 내가 괜히 한번 너의 손잡아 본다 어제완 다른 모습이라도 그게 나를 힘들게 한 대도 너 하나로 충분해 백 번을 말해도 부족하니까 어떤 말보다 따뜻하니까 고마워 전하고 싶었던 내 마음이 이제는 네게 닿을 수 있을까 널 향한 내 손은 그래 진심이야 아무런 말도 하지 않아도 돼 고마워 내 손을 잡고 있는 네가 고마워 날 보며 웃고 울어주던 그 모습 하나하나 기억나 이젠 내가 너를 안아줄게 언제부턴가 느껴지는 건 서로를 믿어주는 그 마음 그거면 난 충분해 백 번을 말해도 부족하니까 어떤 말보다 따뜻하니까 고마워 전하고 싶었던 내 맘이 이제는 네게 닿을 수 있을까 힘들었던 날에 날 일으켜 줬던 네가 있기에 버틸 수 있었어 I know your love 절대 잊지 못해 하나둘씩 채워질 My life 널 향한 내 손은 그래 진심이야 꽉 잡은 내 손은 운명이야 고마워 내 손을 잡고 있는 네가 고마워 나의 옆에 있어 줘서
30,VICTON (빅톤),Dear. young,나 한참을 걸어온 지난 길에 문득 어디쯤인지 궁금해져 멈췄어 여러 계절을 보냈지 꽃 피고 지는 것도 찌는 여름에 흘렸던 땀방울도 눈물로 밟힌 낙엽 그 위로 내리던 눈 매일 땀인지 눈물인지 모를 걸 흘려 약이라던 시간은 갈수록 날 죽여 잘 익은 벼와 다른 이유로 고갤 숙여 난 찾아야 돼 지금 내가 할 수 있는 걸 근데 지금 내가 할 수 있는 건 밝은 빛이 되길 바랐던 그때의 내게 물어온 질문들 여전히 꿈꾸는지 아직도 빛나는지 두 눈이 너는 뭐든 될 수 있어 날 믿기로 걸음 절대 멈추지 않기로 했잖아 넌 또다시 미래의 너를 위해 다시 일어서 힘에 겨울 때 돌아볼 네가 될 수 있게 눈물은 없을 줄 알았던 나의 기대는 지금 나에겐 무감각해진 아픔으로 왜 그리 많은 일 나를 지치게 할까 이 길이 내 길이 아닌 걸까 지친 나의 꿈속에 선명하게 들려오는 목소리 내게 물어오네 여전히 꿈꾸는지 아직도 빛나는지 두 눈이 너는 뭐든 될 수 있어 날 믿기로 걸음 절대 멈추지 않기로 했잖아 넌 또다시 미래의 너를 위해 다시 일어서 힘에 겨울 때 돌아볼 네가 될 수 있게 수없이 날 스친 바람 그 사이 한 걸음만 더 나아가 그때의 나에게 말해줘 끝내 웃어보겠다고 Dear young days Me I wanna say Thank you Dear young days Me I wanna say Thank you 늦지 않게 I only wanna say 꿈을 꿀게 이 길이 어딜 향해 있어도 나는 뭐든 될 수 있어 날 믿을게 걸음 절대 멈추지 않고 저 끝까지 난 또다시 미래의 나를 위해 걸어가야지 다시 또 나를 돌아볼 때 내가 웃어줄게 이 길에서 Dear young days Me I wanna say Thank you Dear young days Me I wanna say Thank you
31,정재욱,그게 나인 걸,아무의미 없는 것처럼 그렇게 웃어 넘겼지 나에게 너는 짐일 뿐이야 아무리 다짐 해 봐도 헤어져 지내 보자는 그 말에 잘 지낼 수 있을 것처럼 그렇게 웃음 보였지 너에게 나는 아무 의미도 없단 걸 알 수 있도록 뒤 돌아 보지는 마 술 취한 밤 전활 걸어 너의 안부를 물어보는 내 모습이 그게 나는 두려울 뿐이야 단 한번 우연이라도 널 본다면 한참동안 난 길을 잃은 아이처럼 해매이다 지쳐 잠들겠지 꿈에서라도 널 볼 수 있도록 그게 나인걸  잘 지내고 있는 것처럼 그렇게 나를 속여도 나에게 너는 전부였단 걸 시간이 흘러갈수록 느끼게 되는 나의 모습이 초라할 뿐이야 단 한번 우연이라도 널 본다면 한참동안 난 길을 잃은 아이처럼 해매이다 지쳐 잠들겠지 꿈에서라도 널 볼 수 있도록 그게 나인걸 한번도 말 안했지만 너 내안에 가득 담겨있어 기억해 줄래 나를 너를 사랑했다는 걸 다시 시작할 날 위해 가끔씩 네 소식을 듣게 된다면 한참동안 난 길을 잃은 아이처럼 해매이다 지쳐 잠들겠지 꿈에서라도 널 볼 수 있도록 그게 나인걸  다 지난 일이길 바래 ... ...
32,가비엔제이,미안했을까,헤어지던 날 니가 내게 던지던 말 일분일초도 너랑 있고 싶지 않아 불꽃 같던 날 한 순간에 식어 버린 넌 꼭 그렇게 그렇게 그래야만 했니 잘 지냈을까 조금은 미안했을까 몇 마디로 우리 정리할 만큼 쉽니 진짜였을까 혹시 넌 후회했을까 홧김에 그런 거라면 이럴 맘 아니었다면 늦은 밤 문득 문자 한 번 올법한데 몇 달이 가도 연락 없는 니가 미워 아닐 거라고 다를 거라 믿었었는데 넌 뻔하게 뻔하게 그래야만 했니 잘 지냈을까 조금은 미안했을까 몇 마디로 우리 정리할 만큼 쉽니 진짜였을까 혹시 넌 후회했을까 홧김에 그런 거라면 이럴 맘 아니었다면 말은 안 해도 너도 아팠을 거야 그래도 너무 하잖아 우리 사랑이긴 했었니 나도 너처럼 널 싫어할래 도 안돼 울고 있던 날 한번은 돌아봤을까 그때로 돌아간다면 니가 날 안아줬다면 얘기해줄래 그때 정말 왜 그랬니 조금이라도 내게 미안하긴 했니
33,공기남,비를 내려줘요,더 이상 악몽을 꾸긴 싫어요 그대가 날 어루만져줘요 편안히 잠들 수 있게 비를 내려줘요 포근한 나만의 자장가 오늘도 내 맘은 어둡고 캄캄해서 간절히 원해요 이뤄져라 마음속의 쌓였던 숨겨두고 감췄던 답답함이 사라지기를 온 세상에 비가 내려 내 마음도 편안해져 빗물 속에 흘러가도록 온 세상에 비가 내려 내 마음도 따뜻해져 아픔이 다 씻겨지도록 요즘 삶의 무게가 무거워서 철부지 아이 때가 생각나 우산을 접어두고 내리는 비 맞으며 마냥 좋아 걷곤 했었어 오늘도 내 맘은 어둡고 캄캄해서 간절히 원해요 이뤄져라 편안히 잠들 수 있게 비를 내려줘요 내 마음을 적셔 주세요 온 세상에 비가 내려 내 마음도 편안해져 빗물 속에 흘러가도록 온 세상에 비가 내려 내 마음도 따뜻해져 아픔이 다 씻겨지도록 편안히 잠들 수 있게 비를 내려줘요 포근한 나만의 자장가
34,비투비 포유,그대로예요,하루 종일 멍하니 멈춰 있어요 아무것도 하지 않고 꽤나 오랜 시간이 흘렀는데 글쎄 나 혼자 멈춰 있네요 잠시만 미안해요 아무 말도 말아줘요 그냥 못 본 척해 줄래요 나 정말로 어떡해요 넌 내 마음을 몰라 난 너 밖에 몰라서 나의 세상은 하루가 멀다 하고 점점 무너져요 넌 내 마음을 못 봐 난 너 밖에 못 봐서 단 하루를 더 살아도 그대 미소면 충분할 텐데 그댄 어떤 가요 난 그대로예요 잠에 들기 싫어 난 무서워요 다시 너 없는 시작을 해야 하잖아 잠시만 미안해요 아무 말도 말아줘요 그냥 이대로 있어줘요 나 정말로 어떡하죠 넌 내 마음을 몰라 난 너 밖에 몰라서 나의 세상은 하루가 멀다 하고 점점 무너져요 넌 내 마음을 못 봐 난 너 밖에 못 봐서 단 하루를 더 살아도 그대 미소면 충분할 텐데 그댄 어떤 가요 그대로예요 여전히 그대로예요 나의 세상은 온통 그대로만 가득 차 터질 것 같아 두 번 다시 널 외롭게 하지 않을 게 혼자서 되뇌이는 말 그대로예요 여전히 그대로예요 I don’t know why But I just can’t stop thinking ‘bout our last goodbye 내 곁에 네가 없다는 걸 아직 난 실감이 잘 안가 악몽을 꿔도 괜찮아 If I could see you just a few more times Like I’m running on a treadmill my life is at a standstill 세상은 계속 돌아가는데 나만 제자리인 것 같아 너는 잘 지내는 것 같은데 나만 그대로인가 봐 Feels like the clock’s not ticking anymore No more tick tock tick tock wish it would stop 너무 아픈데 자꾸 왜 하고 있을까 네 생각 Can somebody please come and help me out right now 왜 내 마음을 몰라 왜 내 마음을 못 봐서 나의 세상은 하루가 멀다 하고 점점 무너져요 난 너 밖에 몰라 난 너 밖에 못 봐서 단 하루를 더 살아도 그대 미소면 충분할 텐데 그댄 어떤 가요 난 그대로예요 하루 종일 멍하니 멈춰 있어요 아무것도 하지 않고
35,"나윤권, 김민상",그런일은,너무나 멀어보여요 이렇게 가까이 있는데도 언제나 나를 안아주던 따스한 인사도 잊은 건가요 내가 뭘 잘못했나요 혹시 나 미워졌나요 아니죠 떠나려는 건 아니죠 그런 일은 절대로 없을 거라 나는 믿을게요 오늘은 안돼요 내 사랑이 이대로는 이별을 감당하긴 어려운 걸요 많은 약속을 다 지울 순 없잖아요 아직도 해드릴게 참 많이 있는데 정말 날 좋아했는데 정말 날 아꼈었는데 아니죠 그대를 다시 못 보는 그런 일은 절대로 없을 거라 나는 믿을게요 오늘은 안돼요 내 사랑이 이대로는 이별을 감당하긴 어려운 걸요 많은 약속을 다 지울 순 없잖아요 아직도 해드릴게 참 많은 걸요 워우워 내일 아침엔 더 힘들어질 거예요 어쩌면 며칠 밤을 지새우겠죠 언제까지나 곁에 있기로 했잖아요 그대가 아니라면 오 그대가 아니라면 그대가 아니라면 난 혼자인 걸요
36,성태 (포스트맨),잘해줄걸,답장을 늦게 해도 약속을 좀 미뤄도 항상 웃어주던 너라 내가 잘 몰랐나 봐 잠잠한 핸드폰이 익숙해져 갈 때쯤 그때서야 난 늦게 떠난 널 느낀 거야 너 없이 잘 살 거라 믿어왔던 무딘 내게 너라는 폭풍이 밀려와 사랑한단 그 흔한 말이라도 그렇게 좋아하던 작은 꽃이라도 밥은 먹었냐는 흔한 말도 더 할걸 그랬어 이렇게 나 널 사랑하는 줄은 몰랐어 잘해줄걸 잘해줄걸 잘해줄걸 떠나고야 알았어 익숙해진 사랑이 너에게는 얼마나 깊은 상처였는지 우리가 함께했던 긴 시간 그 반이라도 좀 더 잘해 줄 걸 그랬어 사랑한단 그 흔한 말이라도 그렇게 좋아하던 작은 꽃이라도 밥은 먹었냐는 흔한 말도 더 할걸 그랬어 이렇게 나 널 사랑하는 줄은 몰랐어 널 부서지게 만들었던 시간을 잘라내 조각난 이 기억들을 다 꿰매고 나면 처음인 것처럼 우리 처음 그때처럼 우리 둘 다시 돌아가 내 세상에 당연한 너로 머물러 있어주길 너 없는 일분일초 나의 하루 너 없는 내일 나의 모든 순간들이 너라는 아픈 감각 하나에 또 망가져간다 아직도 나 널 사랑하는 줄은 몰랐어 잘해줄걸 잘해줄걸 잘해줄걸
37,거미,지워져,그 날 따스했던 바람도 눈 감으면 느낄 수 있죠 내 코 끝에 스친 그대의 숨결을 느낀거였죠 그댄 영원할 줄 알았죠 세상이 나를 속여도 세월이 지나고 나면 그댄 더 조금씩 멀어지겠죠 나 살아 숨쉬는 동안은 그대를 지우지 못해 더욱 짙어져 그댈 부를 수도 없네요 아름다운 석양 앞에서 웃음짓던 그 날 생각에 그댄 더 짙게 물들죠 그댄 영원할 줄 알았죠 세상이 나를 속여도 세월이 지나고 나면 그댄 더 조금씩 멀어지겠죠 나 살아 숨쉬는 동안은 그대를 지우지 못해 더욱 짙어져 지나 온 날이 모두 소중한 나라서 세월이 지나고 나면 모든게 조금씩 흐려지겠죠 나 사랑했던 그 순간도 물들인 마음도 결국 지워지겠죠
